order_id,product_id,customer_email,order_date,status,quantity,total_amount
1,884,user3564@mail.com,2025-03-01,delivered,3,231.2
2,784,user6291@shop.net,2026-01-13,cancelled,2,27.43
3,635,user8957@example.com,2025-08-09,pending,10,409.28
4,929,user4826@example.com,2025-07-30,cancelled,10,15.07
5,945,user5002@example.com,2026-01-31,delivered,2,214.2
6,103,user9882@mail.com,2025-02-08,delivered,7,175.49
7,870,user3071@example.com,2025-11-16,shipped,5,220.14
8,94,user2162@example.com,2025-11-01,cancelled,8,42.06
9,549,user4668@shop.net,2026-05-14,cancelled,9,17.88
10,291,user8224@example.com,2025-11-02,pending,5,491.36
11,439,user3029@example.com,2026-02-25,cancelled,5,318.37
12,923,user7760@shop.net,2024-11-28,shipped,9,236.19
13,172,user4918@example.com,2024-06-28,processing,4,401.93
14,173,user7366@mail.com,2026-04-07,delivered,4,41.33
15,120,user2029@mail.com,2025-09-06,shipped,7,338.03
16,344,user6235@example.com,2026-04-26,processing,3,331.93
17,866,user8006@shop.net,2026-01-10,processing,3,233.16
18,282,user5642@mail.com,2024-11-03,delivered,2,45.98
19,135,user1846@shop.net,2025-11-13,cancelled,1,248.04
20,985,user5651@example.com,2026-05-08,processing,4,181.92
21,236,user1655@mail.com,2025-02-13,pending,6,434.78
22,194,user4639@example.com,2024-06-18,delivered,2,344.75
23,346,user2906@shop.net,2025-12-06,pending,2,428.08
24,570,user3644@shop.net,2025-01-29,shipped,4,406.49
25,82,user7053@shop.net,2024-11-06,shipped,8,81.31
26,240,user3269@shop.net,2026-01-31,shipped,7,160.63
27,679,user4738@mail.com,2024-06-29,processing,3,278.29
28,37,user9331@shop.net,2025-03-10,pending,4,497.25
29,280,user4878@shop.net,2024-12-13,delivered,3,203.33
30,751,user7825@mail.com,2025-07-17,delivered,5,401.17
31,84,user2513@example.com,2024-06-16,cancelled,1,383.41
32,535,user6279@example.com,2025-09-03,processing,1,322.92
33,835,user6004@mail.com,2025-09-28,pending,2,48.27
34,749,user5439@mail.com,2025-11-29,processing,3,201.89
35,621,user9105@example.com,2025-07-27,shipped,2,122.74
36,167,user8462@example.com,2024-10-13,pending,8,112.47
37,610,user5281@mail.com,2025-02-11,shipped,1,168.67
38,426,user1182@mail.com,2025-04-20,shipped,4,138.06
39,547,user9592@shop.net,2025-03-15,processing,1,234.82
40,474,user3898@shop.net,2025-06-19,processing,3,249.29
41,171,user7019@example.com,2025-02-07,cancelled,8,451.75
42,308,user7471@mail.com,2026-06-05,delivered,3,454.26
43,484,user5527@mail.com,2024-07-19,delivered,8,383.65
44,64,user4932@example.com,2024-09-30,shipped,7,329.99
45,874,user3215@example.com,2025-11-24,cancelled,8,486.82
46,716,user9733@example.com,2025-11-02,pending,10,273.76
47,86,user7742@example.com,2025-12-31,pending,9,47.95
48,310,user3642@example.com,2024-12-17,shipped,7,135.79
49,917,user2209@example.com,2024-06-16,pending,5,181.49
50,993,user1461@example.com,2026-04-03,processing,10,8.36
51,121,user2350@shop.net,2024-08-03,pending,5,195.94
