id,customer_id,first_name,last_name,email,phone,position,is_primary
1,3,John,Smith,john.smith@techcorp.com,+1-555-123-4567,CEO,
2,1,Emily,Johnson,emily.johnson@marketingfirm.net,+1-555-987-6543,Marketing Director,
3,3,Michael,Wong,michael.wong@globaltech.org,+1-555-246-8135,IT Manager,
4,2,Sarah,Garcia,sarah.garcia@financesolutions.com,+1-555-369-2580,Finance Controller,
5,1,David,Mueller,david.mueller@manufacturingco.com,+1-555-741-9630,Operations Manager,
6,3,Rachel,Kim,rachel.kim@startupinc.io,+1-555-852-7410,Founder,
7,4,Carlos,Rodriguez,carlos.rodriguez@consultinggroup.com,+1-555-159-7532,Senior Consultant,
8,4,Olivia,Chen,olivia.chen@researchlab.edu,+1-555-753-9514,Research Director,
9,1,Alexander,Petrova,alexander.petrova@engineeringfirm.net,+1-555-486-2097,Lead Engineer,
10,5,Emma,Thompson,emma.thompson@nonprofitorg.org,+1-555-321-6540,Executive Director,
