id,name,email,signup_date,loyalty_tier
1,Sarah Mitchell,sarah.mitchell@email.com,2022-03-15,Gold
2,James Chen,james.chen@email.com,2023-07-22,Silver
3,Maria Rodriguez,maria.rodriguez@email.com,2021-11-08,Bronze
4,David Thompson,david.thompson@email.com,2023-02-14,Bronze
5,Emily Watson,emily.watson@email.com,2022-09-30,Silver
6,Michael Johnson,michael.johnson@email.com,2023-05-11,Gold
7,Jessica Lee,jessica.lee@email.com,2022-01-27,Platinum
8,Robert Anderson,robert.anderson@email.com,2023-08-19,Platinum
9,Amanda Foster,amanda.foster@email.com,2022-06-05,Bronze
10,Christopher Blake,christopher.blake@email.com,2021-10-12,Platinum
