id,customer_id,first_name,last_name,email,phone,position,is_primary
1,6,John,Smith,john.smith@techcorp.com,555-123-4567,CEO,
2,4,Emily,Johnson,emily.johnson@marketingfirm.net,555-987-6543,Marketing Director,
3,10,Michael,Williams,michael.williams@financeinc.org,555-456-7890,Finance Manager,
4,8,Sarah,Brown,sarah.brown@retailgroup.com,555-234-5678,Operations Lead,
5,9,David,Miller,david.miller@techsolutions.io,555-345-6789,IT Director,
6,1,Jennifer,Davis,jennifer.davis@consultingfirm.com,555-678-9012,Senior Consultant,
7,5,Robert,Garcia,robert.garcia@manufacturingco.net,555-890-1234,Production Manager,
8,6,Lisa,Martinez,lisa.martinez@healthservices.org,555-567-8901,Healthcare Administrator,
9,5,Christopher,Rodriguez,christopher.rodriguez@educationgroup.com,555-456-7890,Education Coordinator,
10,1,Amanda,Lopez,amanda.lopez@energycompany.io,555-789-0123,Sustainability Manager,
11,1,Kevin,Wilson,kevin.wilson@foodindustry.net,555-234-5678,Supply Chain Director,
12,1,Rachel,Anderson,rachel.anderson@transportationco.org,555-345-6789,Logistics Coordinator,
13,6,Thomas,Taylor,thomas.taylor@agriculturefirm.com,555-678-9012,Agricultural Specialist,
14,2,Michelle,Thomas,michelle.thomas@constructiongroup.io,555-890-1234,Project Manager,
15,8,Daniel,Jackson,daniel.jackson@environmentalorg.net,555-567-8901,Environmental Consultant,
16,5,Elizabeth,White,elizabeth.white@pharmaceuticalco.com,555-456-7890,Research Director,
17,9,Mark,Harris,mark.harris@mediacompany.org,555-789-0123,Content Strategy Lead,
18,1,Jessica,Martin,jessica.martin@nonprofitorg.net,555-234-5678,Program Director,
19,1,Brian,Lee,brian.lee@softwarecompany.io,555-345-6789,Software Engineering Manager,
20,6,Nicole,Clark,nicole.clark@retailtech.com,555-678-9012,E-commerce Director,
21,7,Steven,Lewis,steven.lewis@sportsequipment.net,555-890-1234,Product Development Manager,
22,10,Lauren,Walker,lauren.walker@travelagency.com,555-567-8901,Customer Experience Manager,
23,3,Eric,Hall,eric.hall@entertainmentgroup.org,555-456-7890,Event Coordinator,
24,6,Karen,Allen,karen.allen@insurancecompany.net,555-789-0123,Claims Manager,
25,1,Ryan,Young,ryan.young@hospitalityinc.com,555-234-5678,Hospitality Operations Director,
